observation_id,country_iso3,geography,layer,indicator,value,unit,period_start,period_end,release_date,source_institution,source_url,source_language,retrieval_date,status,verification_stage,comparability_group,notes
JOR-CPI-H1-YOY-2026,JOR,Jordan,macro,cpi_h1_yoy,2.03,% change,2026-01-01,2026-06-30,2026-07-23,Jordan Department of Statistics,https://dosweb.dos.gov.jo/cpi_072026/,en,2026-08-08,raw,official-source-checked; independent audit pending,half-year-yoy,First-half 2026 inflation versus first half 2025; not directly rankable beside monthly YoY rates.
JOR-CPI-JUN-YOY-2026,JOR,Jordan,macro,cpi_yoy,2.79,% change,2026-06-01,2026-06-30,2026-07-23,Jordan Department of Statistics,https://dosweb.dos.gov.jo/cpi_072026/,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-yoy,
JOR-CPI-JUN-MOM-2026,JOR,Jordan,macro,cpi_mom,0.14,% change,2026-06-01,2026-06-30,2026-07-23,Jordan Department of Statistics,https://dosweb.dos.gov.jo/cpi_072026/,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-mom,
SAU-CPI-JUN-YOY-2026,SAU,Saudi Arabia,macro,cpi_yoy,1.8,% change,2026-06-01,2026-06-30,2026-07-15,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/20117/2435267/CPI%2BJun%2B2026-EN%2B%281%29.pdf/06a48d85-4368-1e92-dfcb-8a092010e724?t=1783941888045,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-yoy,
SAU-CPI-JUN-MOM-2026,SAU,Saudi Arabia,macro,cpi_mom,0.2,% change,2026-06-01,2026-06-30,2026-07-15,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/20117/2435267/CPI%2BJun%2B2026-EN%2B%281%29.pdf/06a48d85-4368-1e92-dfcb-8a092010e724?t=1783941888045,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-mom,
SAU-FOOD-JUN-YOY-2026,SAU,Saudi Arabia,macro,food_beverages_yoy,1.4,% change,2026-06-01,2026-06-30,2026-07-15,General Authority for Statistics (Saudi Arabia),https://www.stats.gov.sa/documents/20117/2435267/CPI%2BJun%2B2026-EN%2B%281%29.pdf/06a48d85-4368-1e92-dfcb-8a092010e724?t=1783941888045,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-yoy-component,
MAR-CPI-JUN-YOY-2026,MAR,Morocco,macro,cpi_yoy,0.3,% change,2026-06-01,2026-06-30,2026-07-22,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2026_a4339.html,fr,2026-08-08,raw,official-source-checked; independent audit pending,monthly-yoy,
MAR-CPI-JUN-MOM-2026,MAR,Morocco,macro,cpi_mom,-0.4,% change,2026-06-01,2026-06-30,2026-07-22,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2026_a4339.html,fr,2026-08-08,raw,official-source-checked; independent audit pending,monthly-mom,
MAR-CORE-JUN-YOY-2026,MAR,Morocco,macro,core_inflation_yoy,-0.1,% change,2026-06-01,2026-06-30,2026-07-22,Haut-Commissariat au Plan (Morocco),https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2026_a4339.html,fr,2026-08-08,raw,official-source-checked; independent audit pending,monthly-yoy-core,
TUN-CPI-JUL-YOY-2026,TUN,Tunisia,macro,cpi_yoy,5.1,% change,2026-07-01,2026-07-31,2026-08-05,National Institute of Statistics (Tunisia),https://www.ins.tn/en/statistiques/90,en,2026-08-08,raw,official-source-checked; independent audit pending,monthly-yoy,July observation; preserved as July rather than harmonized to June.
