case_id,country,institution,series,reference_period,metric,first_vintage_date,first_value,later_vintage_date,later_value,revision_pp,revision_type,old_vintage_still_public,first_source,later_source,interpretation_note,retrieved_date
MAR-GDP-Q1-2024,Morocco,Haut-Commissariat au Plan,Real GDP growth,Q1 2024,year_on_year_percent,2024-07-01,2.5,2025-06-30,3.0,0.5,later-quarterly-vintage,yes,https://www.hcp.ma/La-situation-economique-nationale-au-premier-trimestre-2024_a3904.html,https://www.hcp.ma/La-situation-economique-nationale-au-premier-trimestre-2025_a4133.html,"Later release reports revised Q1 2024 comparator; revision is measured as later minus first vintage",2026-08-17
MAR-GDP-Q2-2024,Morocco,Haut-Commissariat au Plan,Real GDP growth,Q2 2024,year_on_year_percent,2024-09-30,2.4,2025-09-30,3.0,0.6,later-quarterly-vintage,yes,https://www.hcp.ma/La-situation-economique-nationale-au-deuxieme-trimestre-2024,https://www.hcp.ma/La-situation-economique-nationale-au-deuxieme-trimestre-2025_a4179.html,"Later release reports revised Q2 2024 comparator; revision is measured as later minus first vintage",2026-08-17
MAR-GDP-Q3-2024,Morocco,Haut-Commissariat au Plan,Real GDP growth,Q3 2024,year_on_year_percent,2024-12-31,4.3,2025-12-31,5.0,0.7,later-quarterly-vintage,yes,https://www.hcp.ma/La-situation-economique-nationale-au-troisieme-trimestre-2024_a4042.html,https://www.hcp.ma/La-situation-economique-nationale-au-troisieme-trimestre-2025,"Later release reports revised Q3 2024 comparator; the revision crosses the 5 percent headline threshold",2026-08-17
MAR-GDP-Q4-2024,Morocco,Haut-Commissariat au Plan,Real GDP growth,Q4 2024,year_on_year_percent,2025-03-31,3.7,2026-03-31,4.2,0.5,later-quarterly-vintage,yes,https://www.hcp.ma/La-situation-economique-nationale-au-quatrieme-trimestre-2024_a4085.html,https://www.hcp.ma/La-situation-economique-nationale-au-quatrieme-trimestre-2025,"Later release reports revised Q4 2024 comparator",2026-08-17
MAR-GDP-Y2024,Morocco,Haut-Commissariat au Plan,Real GDP growth,2024,annual_percent,2025-06-06,3.8,2026-06-08,4.4,0.6,annual-revision,yes,https://www.hcp.ma/Situation-economique-nationale-en-2024_a4119.html,https://www.hcp.ma/Situation-economique-nationale-en-2025,"2025 national accounts release reports 2024 growth at 4.4 percent versus the provisional 3.8 percent published a year earlier",2026-08-17
JOR-GDP-Q3-2024,Jordan,Department of Statistics,Real GDP growth,Q3 2024,year_on_year_percent,2025-01-02,2.6,2026-01-07,2.5,-0.1,comprehensive-revision-visible-in-later-release,yes,https://dosweb.dos.gov.jo/gdp-q32024/,https://dosweb.dos.gov.jo/gdp_012026/,"Later release cites Q3 2024 at 2.5 percent after DoS announced a comprehensive revision of quarterly GDP from 2008 through Q2 2025",2026-08-17
SAU-GDP-Q3-2024-HEADLINE,Saudi Arabia,General Authority for Statistics,Real GDP growth,Q3 2024,year_on_year_percent,2024-11-03,2.8,2024-12-08,2.8,0.0,flash-to-full,yes,https://www.stats.gov.sa/en/news,https://www.stats.gov.sa/en/news,"Headline real GDP growth was unchanged between flash and full QNA",2026-08-17
SAU-GDP-Q3-2024-OIL,Saudi Arabia,General Authority for Statistics,Oil activities real growth,Q3 2024,year_on_year_percent,2024-11-03,0.3,2024-12-08,0.05,-0.25,flash-to-full,yes,https://www.stats.gov.sa/en/news,https://www.stats.gov.sa/en/news,"Composition revised even though headline real GDP growth did not",2026-08-17
SAU-GDP-Q3-2024-NONOIL,Saudi Arabia,General Authority for Statistics,Non-oil activities real growth,Q3 2024,year_on_year_percent,2024-11-03,4.2,2024-12-08,4.3,0.1,flash-to-full,yes,https://www.stats.gov.sa/en/news,https://www.stats.gov.sa/en/news,"Composition revised even though headline real GDP growth did not",2026-08-17
SAU-GDP-Q3-2024-QOQ,Saudi Arabia,General Authority for Statistics,Seasonally adjusted real GDP growth,Q3 2024,quarter_on_quarter_percent,2024-11-03,0.8,2024-12-08,0.9,0.1,flash-to-full,yes,https://www.stats.gov.sa/en/news,https://www.stats.gov.sa/en/news,"Quarter-on-quarter seasonally adjusted estimate revised upward in the full release",2026-08-17
