year,pre_revision_real_gdp_growth_pct,post_revision_real_gdp_growth_pct,pre_source_ref,post_source_ref,extraction_status
2011,,,,,pending_official_workbook_extraction
2012,,,,,pending_official_workbook_extraction
2013,,,,,pending_official_workbook_extraction
2014,,,,,pending_official_workbook_extraction
2015,,,,,pending_official_workbook_extraction
2016,,,,,pending_official_workbook_extraction
2017,,,,,pending_official_workbook_extraction
2018,,,,,pending_official_workbook_extraction
2019,,,,,pending_official_workbook_extraction
2020,,,,,pending_official_workbook_extraction
2021,,,,,pending_official_workbook_extraction
2022,,,,,pending_official_workbook_extraction
2023,-0.8,0.5,GASTAT pre-revision annual/GDP FQ4 2024,GASTAT Annual National Accounts 2023,verified
