record_id,country,institution,series,reference_period,measure,release_date,release_time,vintage,vintage_order,revision_number,value,unit,supersedes,revision_from_prior_pp,cumulative_revision_from_flash_pp,source_artifact,source_url,source_url_type,archived_source,sha256,retrieved_at,knowable_at_release_date,notes
SAU-GDP-Q1-2025-REAL-V1,Saudi Arabia,General Authority for Statistics,Real GDP growth,Q1 2025,year_on_year_percent,2025-05-01,UNVERIFIED,Q1 2025 flash,1,0,2.7,percent,,0.0,0.0,GDP_FQ12025E_v3.pdf,https://www.stats.gov.sa/documents/20117/2435259/GDP%2BFQ12025E_v3.pdf/54ea3129-6610-97cb-d187-0cd498474508?t=1746087600798,direct_official_artifact,preserved,cd5f7b2f486c14153de505b7dc89df2cee8d1d59aa736802ba87e64c7d48523c,2026-08-18,yes,"Flash estimate; produced while quarterly information is still incomplete. Exact public release clock time not independently verified."
SAU-GDP-Q1-2025-NONOIL-V1,Saudi Arabia,General Authority for Statistics,Non-oil activities real growth,Q1 2025,year_on_year_percent,2025-05-01,UNVERIFIED,Q1 2025 flash,1,0,4.2,percent,,0.0,0.0,GDP_FQ12025E_v3.pdf,https://www.stats.gov.sa/documents/20117/2435259/GDP%2BFQ12025E_v3.pdf/54ea3129-6610-97cb-d187-0cd498474508?t=1746087600798,direct_official_artifact,preserved,cd5f7b2f486c14153de505b7dc89df2cee8d1d59aa736802ba87e64c7d48523c,2026-08-18,yes,"Flash estimate. Exact public release clock time not independently verified."
SAU-GDP-Q1-2025-OIL-V1,Saudi Arabia,General Authority for Statistics,Oil activities real growth,Q1 2025,year_on_year_percent,2025-05-01,UNVERIFIED,Q1 2025 flash,1,0,-1.4,percent,,0.0,0.0,GDP_FQ12025E_v3.pdf,https://www.stats.gov.sa/documents/20117/2435259/GDP%2BFQ12025E_v3.pdf/54ea3129-6610-97cb-d187-0cd498474508?t=1746087600798,direct_official_artifact,preserved,cd5f7b2f486c14153de505b7dc89df2cee8d1d59aa736802ba87e64c7d48523c,2026-08-18,yes,"Flash estimate. Exact public release clock time not independently verified."
SAU-GDP-Q1-2025-REAL-V2,Saudi Arabia,General Authority for Statistics,Real GDP growth,Q1 2025,year_on_year_percent,2025-06-09,UNVERIFIED,Q1 2025 regular,2,1,3.4,percent,SAU-GDP-Q1-2025-REAL-V1,0.7,0.7,GDP_Q1_2025E_v6.pdf,https://www.stats.gov.sa/documents/20117/2435267/GDP%2BQ1%2B2025E_v6.pdf/b9467821-8fe3-daf3-5401-e7f3a854615c?t=1749415442848,direct_official_artifact,preserved,7077a6b4900755e8492aae888735d0f3e0e5111741fed9419993f2b185be792f,2026-08-18,yes,"Regular Q1 publication. Headline estimate is 0.7 percentage points above the flash vintage. Exact public release clock time not independently verified."
SAU-GDP-Q1-2025-NONOIL-V2,Saudi Arabia,General Authority for Statistics,Non-oil activities real growth,Q1 2025,year_on_year_percent,2025-06-09,UNVERIFIED,Q1 2025 regular,2,1,4.9,percent,SAU-GDP-Q1-2025-NONOIL-V1,0.7,0.7,GDP_Q1_2025E_v6.pdf,https://www.stats.gov.sa/documents/20117/2435267/GDP%2BQ1%2B2025E_v6.pdf/b9467821-8fe3-daf3-5401-e7f3a854615c?t=1749415442848,direct_official_artifact,preserved,7077a6b4900755e8492aae888735d0f3e0e5111741fed9419993f2b185be792f,2026-08-18,yes,"Regular Q1 publication. Exact public release clock time not independently verified."
SAU-GDP-Q1-2025-OIL-V2,Saudi Arabia,General Authority for Statistics,Oil activities real growth,Q1 2025,year_on_year_percent,2025-06-09,UNVERIFIED,Q1 2025 regular,2,1,-0.5,percent,SAU-GDP-Q1-2025-OIL-V1,0.9,0.9,GDP_Q1_2025E_v6.pdf,https://www.stats.gov.sa/documents/20117/2435267/GDP%2BQ1%2B2025E_v6.pdf/b9467821-8fe3-daf3-5401-e7f3a854615c?t=1749415442848,direct_official_artifact,preserved,7077a6b4900755e8492aae888735d0f3e0e5111741fed9419993f2b185be792f,2026-08-18,yes,"Regular Q1 publication. Exact public release clock time not independently verified."
SAU-GDP-Q1-2025-REAL-V3,Saudi Arabia,General Authority for Statistics,Real GDP growth,Q1 2025,year_on_year_percent,2025-12-08,UNVERIFIED,Q3 2025 regular,3,2,3.7,percent,SAU-GDP-Q1-2025-REAL-V2,0.3,1.0,GDP_FQ3.2025_EN.pdf,https://www.stats.gov.sa/en/search?q=GDP_FQ3.2025_EN.pdf,official_search_locator,not_archived_in_dataset,,2026-08-18,yes,"Q3 2025 regular publication displays revised Q1 2025 growth. Direct stable artifact URL not encoded here; official filename is retained as a locator."
SAU-GDP-Q1-2025-NONOIL-V3,Saudi Arabia,General Authority for Statistics,Non-oil activities real growth,Q1 2025,year_on_year_percent,2025-12-08,UNVERIFIED,Q3 2025 regular,3,2,5.5,percent,SAU-GDP-Q1-2025-NONOIL-V2,0.6,1.3,GDP_FQ3.2025_EN.pdf,https://www.stats.gov.sa/en/search?q=GDP_FQ3.2025_EN.pdf,official_search_locator,not_archived_in_dataset,,2026-08-18,yes,"Q3 2025 regular publication displays revised Q1 2025 growth. Direct stable artifact URL not encoded here; official filename is retained as a locator."
SAU-GDP-Q1-2025-OIL-V3,Saudi Arabia,General Authority for Statistics,Oil activities real growth,Q1 2025,year_on_year_percent,2025-12-08,UNVERIFIED,Q3 2025 regular,3,2,-0.4,percent,SAU-GDP-Q1-2025-OIL-V2,0.1,1.0,GDP_FQ3.2025_EN.pdf,https://www.stats.gov.sa/en/search?q=GDP_FQ3.2025_EN.pdf,official_search_locator,not_archived_in_dataset,,2026-08-18,yes,"Q3 2025 regular publication displays revised Q1 2025 growth. Direct stable artifact URL not encoded here; official filename is retained as a locator."
SAU-GDP-Q1-2025-REAL-V4,Saudi Arabia,General Authority for Statistics,Real GDP growth,Q1 2025,year_on_year_percent,2026-06-09,UNVERIFIED,Q1 2026 regular,4,3,3.6,percent,SAU-GDP-Q1-2025-REAL-V3,-0.1,0.9,GDP_Q1_2026En_(1).pdf,https://www.stats.gov.sa/documents/20117/2435245/GDP%2BQ1%2B2026En%2B%281%29.pdf/14166dbc-bb8d-1fa8-42fc-2a90fd3eeb1c?t=1781027334672,direct_official_artifact,not_archived_in_dataset,,2026-08-18,yes,"Q1 2026 regular publication displays Q1 2025 at 3.6%. Exact public release clock time not independently verified."
