region,year,treated,post,employment_rate,unemployment_rate
R1,2018,1,0,57.87,5.26
R1,2019,1,0,58.39,5.08
R1,2020,1,0,58.53,5.01
R1,2021,1,0,60.06,5.01
R1,2022,1,1,63.32,4.91
R1,2023,1,1,63.5,4.82
R1,2024,1,1,62.97,4.82
R2,2018,1,0,58.95,5.26
R2,2019,1,0,58.35,4.91
R2,2020,1,0,59.26,4.98
R2,2021,1,0,60.35,4.95
R2,2022,1,1,63.76,4.8
R2,2023,1,1,64.15,4.85
R2,2024,1,1,64.17,4.93
R3,2018,1,0,59.68,5.34
R3,2019,1,0,59.59,5.03
R3,2020,1,0,60.23,5.03
R3,2021,1,0,61.22,4.99
R3,2022,1,1,63.98,4.77
R3,2023,1,1,64.44,4.95
R3,2024,1,1,64.8,4.75
R4,2018,1,0,60.31,5.02
R4,2019,1,0,60.62,5.28
R4,2020,1,0,60.09,5.0
R4,2021,1,0,61.55,4.86
R4,2022,1,1,65.15,4.87
R4,2023,1,1,64.67,4.9
R4,2024,1,1,66.23,4.83
R5,2018,0,0,61.52,5.24
R5,2019,0,0,61.36,4.96
R5,2020,0,0,62.11,4.97
R5,2021,0,0,62.07,4.81
R5,2022,0,1,62.32,4.82
R5,2023,0,1,63.94,4.56
R5,2024,0,1,63.07,4.75
R6,2018,0,0,62.22,5.27
R6,2019,0,0,61.05,4.82
R6,2020,0,0,62.68,4.95
R6,2021,0,0,62.44,5.08
R6,2022,0,1,64.05,4.9
R6,2023,0,1,64.12,4.85
R6,2024,0,1,65.3,4.79
R7,2018,0,0,62.46,5.27
R7,2019,0,0,61.92,5.27
R7,2020,0,0,63.68,5.1
R7,2021,0,0,62.71,4.88
R7,2022,0,1,64.62,4.66
R7,2023,0,1,64.61,4.92
R7,2024,0,1,64.54,4.91
R8,2018,0,0,63.18,5.18
R8,2019,0,0,63.56,5.2
R8,2020,0,0,63.96,5.18
R8,2021,0,0,64.07,4.91
R8,2022,0,1,65.42,4.88
R8,2023,0,1,64.96,4.91
R8,2024,0,1,66.63,4.67
