wbcountryname,iso3c,wbincomegroup,year,hcip_mf,hcip_m,hcip_f,hcip_work_component_mf,hcip_work_component_m,hcip_work_component_f,lfp_ya_mf,lfp_ya_m,lfp_ya_f,emp_ya_mf,emp_ya_m,emp_ya_f,lfp_wa_mf,lfp_wa_m,lfp_wa_f,emp_wa_mf,emp_wa_m,emp_wa_f,shr_wemp_wa_mf,shr_wemp_wa_m,shr_wemp_wa_f,source_url,source_accessed
United Arab Emirates,ARE,High income,2020,257.3303364692727,269.42446106352196,232.01398412813535,64.34679406551705,77.8326730525572,37.483752283602854,0.7442100048065186,0.8498700261116028,0.5246700048446655,0.9350600242614746,0.961139976978302,0.8472700119018555,0.8622854948043823,0.9785867929458618,0.6362031102180481,0.9815343022346497,0.9902887344360352,0.956688642501831,0.9860483407974243,0.9912724494934082,0.9690952301025391,https://github.com/worldbank/HCI-Plus/blob/main/03_output/hci_plus/hci_plus_index_panel.csv,2026-08-10
United Arab Emirates,ARE,High income,2025,262.76981890010654,272.43303045467326,234.1399233315625,67.38163897847878,78.40954747605917,37.09116436422584,0.7855200171470642,0.85971999168396,0.544439971446991,0.9607200026512146,0.9805700182914734,0.8588799834251404,0.8732180595397949,0.9736964702606201,0.6145517826080322,0.9851005673408508,0.9923260807991028,0.9565346837043762,0.9939514994621277,0.9948512315750122,0.9872639775276184,https://github.com/worldbank/HCI-Plus/blob/main/03_output/hci_plus/hci_plus_index_panel.csv,2026-08-10
Bahrain,BHR,High income,2020,236.87085601433802,242.56887006624675,219.9444496894424,57.711260216168526,74.32082673439136,26.425878860762086,0.7059000134468079,0.8417999744415283,0.5022000074386597,0.9506999850273132,0.9782000184059143,0.8809000253677368,0.792153537273407,0.9386049509048462,0.49821150302886963,0.9931122660636902,0.9975666999816895,0.9763117432594299,0.9882773756980896,0.9874212145805359,0.9893497824668884,https://github.com/worldbank/HCI-Plus/blob/main/03_output/hci_plus/hci_plus_index_panel.csv,2026-08-10
Bahrain,BHR,High income,2025,233.91762483709203,238.0107974163127,217.1028395076252,58.27923477797937,74.66221359419491,27.409048295220135,0.7059000134468079,0.8417999744415283,0.5022000074386597,0.9402777552604675,0.9735913872718811,0.8557217121124268,0.792153537273407,0.9386049509048462,0.49821150302886963,0.9931122660636902,0.9975666999816895,0.9763117432594299,0.9914895296096802,0.9910118579864502,0.9920531511306763,https://github.com/worldbank/HCI-Plus/blob/main/03_output/hci_plus/hci_plus_index_panel.csv,2026-08-10
"Egypt, Arab Rep.",EGY,Lower middle income,2020,154.76300813383872,182.2725886474505,124.43728692465697,18.199654309880014,49.02587520372775,-15.124489840983243,0.3411099910736084,0.5142599940299988,0.1545799970626831,0.7821999788284302,0.8687599897384644,0.4720100164413452,0.5543975830078125,0.8904979825019836,0.20282642543315887,0.9475786685943604,0.9681244492530823,0.8541062474250793,0.8153112530708313,0.8373653888702393,0.6993839740753174,https://github.com/worldbank/HCI-Plus/blob/main/03_output/hci_plus/hci_plus_index_panel.csv,2026-08-10
"Egypt, Arab Rep.",EGY,Lower middle income,2025,161.19301595576096,186.3561483903594,134.2908593144501,22.49716055316279,50.75038982073908,-7.547960520767165,0.43479999899864197,0.5856299996376038,0.24503999948501587,0.8247699737548828,0.8785600066184998,0.663040041923523,0.5867823958396912,0.8927590847015381,0.28605154156684875,0.9598017334938049,0.9742863178253174,0.9155121445655823,0.6938308477401733,0.7643570303916931,0.46169209480285645,https://github.com/worldbank/HCI-Plus/blob/main/03_output/hci_plus/hci_plus_index_panel.csv,2026-08-10
Jordan,JOR,Lower middle income,2020,184.86522273616148,199.1305948248051,166.5498859346275,14.91523528196817,38.807762681525574,-14.107371650777539,0.4177600145339966,0.6147900223731995,0.18238000571727753,0.652899980545044,0.6924200057983398,0.4937400221824646,0.4921858310699463,0.7647178769111633,0.16673998534679413,0.8836381435394287,0.8917702436447144,0.8284776210784912,0.8966473340988159,0.8889011144638062,0.9498438239097595,https://github.com/worldbank/HCI-Plus/blob/main/03_output/hci_plus/hci_plus_index_panel.csv,2026-08-10
Jordan,JOR,Lower middle income,2025,170.20969038573404,188.11769242100496,148.39070187974355,16.28234884418757,39.59217373709528,-10.947082845767905,0.4477899968624115,0.6196100115776062,0.2615100145339966,0.635699987411499,0.651170015335083,0.5959700345993042,0.5149199366569519,0.7858760356903076,0.19667194783687592,0.8877120614051819,0.8972834944725037,0.8455629348754883,0.9001054763793945,0.8926236629486084,0.9612005352973938,https://github.com/worldbank/HCI-Plus/blob/main/03_output/hci_plus/hci_plus_index_panel.csv,2026-08-10
Morocco,MAR,Lower middle income,2020,143.73150327854,167.0245441547667,122.48425551187516,16.212157445573165,40.69068516202041,-6.534279684994962,0.4729999899864197,0.7179999947547913,0.2370000034570694,0.7980999946594238,0.8101999759674072,0.7627999782562256,0.529865562915802,0.8096792697906494,0.2737603187561035,0.9350729584693909,0.9371920824050903,0.9296137690544128,0.6246501803398132,0.5964645147323608,0.7470669746398926,https://github.com/worldbank/HCI-Plus/blob/main/03_output/hci_plus/hci_plus_index_panel.csv,2026-08-10
Morocco,MAR,Lower middle income,2025,147.1498110318326,171.1144074258757,123.25404721927025,15.898773324590309,41.427804667972055,-9.886459325134512,0.47083374857902527,0.7147117257118225,0.23591458797454834,0.7971936464309692,0.8093479871749878,0.761735200881958,0.5430546402931213,0.8385958075523376,0.2434498369693756,0.9066572189331055,0.918285608291626,0.8673034906387329,0.6170796155929565,0.5898054838180542,0.7401372790336609,https://github.com/worldbank/HCI-Plus/blob/main/03_output/hci_plus/hci_plus_index_panel.csv,2026-08-10
